5	0.1
 "Eur	o	1
 "Imp	r	1
 "The	 	1
 "Tra	n	1
 % of	 	4
 & De	m	1
 & Yo	u	1
 '1. 	E	1
 '200	9	1
 '28t	h	2
 '50 	p	1
 'A N	e	1
 'A c	o	1
 'A s	e	1
 'A s	h	1
 'Agr	i	1
 'All	 	1
 'An 	A	2
 'An 	E	1
 'An 	a	2
 'Ara	b	1
 'Ass	e	1
 'Ava	t	1
 'Bar	c	1
 'Bet	t	1
 'Bey	o	7
 'Bos	n	1
 'Bro	a	1
 'Bui	l	1
 'Bus	i	1
 'C's	.	1
 'Cap	t	1
 'Che	m	1
 'Chi	 	1
 'Coh	e	3
 'Con	v	1
 'Coo	p	1
 'Cul	t	4
 'Cut	 	1
 'Dig	i	1
 'Do 	a	1
 'Do 	n	1
 'EU 	e	1
 'Eco	n	1
 'Ene	r	1
 'Ent	s	1
 'Env	i	1
 'Era	s	3
 'Eur	o	18
 'For	e	2
 'Fri	e	1
 'Fro	m	1
 'Fuk	u	1
 'GDP	 	14
 'GSP	+	1
 'Gen	e	1
 'Hig	h	1
 'How	 	2
 'I d	o	1
 'I w	i	2
 'I w	o	1
 'If 	y	1
 'Ill	e	1
 'In 	H	1
 'Inn	o	12
 'Inv	e	2
 'Isl	a	1
 'It 	i	1
 'It 	s	1
 'Joi	n	1
 'Let	 	1
 'Ley	 	3
 'Lif	e	3
 'Lis	b	3
 'MOD	E	1
 'Mac	-	1
 'Mac	e	1
 'Mad	e	10
 'Med	i	1
 'Mem	o	1
 'Mon	t	1
 'Mor	e	1
 'Mr 	S	1
 'Mrs	 	1
 'NAT	O	1
 'Nat	i	1
 'No 	j	1
 'No'	 	1
 'No'	.	1
 'Not	e	1
 'On 	f	1
 'PIG	S	1
 'Pav	l	1
 'Peo	p	2
 'Pre	p	1
 'Pé	n	1
 'Roa	d	1
 'Roc	k	1
 'Rom	a	1
 'Ros	e	1
 'Rub	b	2
 'Rus	s	1
 'SME	 	1
 'Sav	e	1
 'Sch	e	2
 'Sin	g	1
 'Sma	l	4
 'Str	e	1
 'Str	o	1
 'Tak	e	1
 'Ter	r	3
 'Tha	t	1
 'The	 	13
 'The	r	1
 'Thi	n	3
 'Thi	s	3
 'Tow	a	2
 'Tra	d	1
 'Tra	n	1
 'Uni	t	3
 'Vot	e	1
 'We 	a	2
 'We 	h	3
 'We 	l	1
 'We 	s	1
 'We 	w	2
 'Wee	k	1
 'Whe	n	1
 'Who	 	1
 'Wit	h	1
 'Yes	'	8
 'You	 	1
 'You	r	1
 'You	t	21
 '[Th	e	1
 'a 3	0	1
 'a k	e	2
 'a l	a	1
 'a l	e	3
 'a p	o	1
 'a t	o	1
 'abs	t	1
 'acc	e	1
 'acc	u	1
 'ada	p	2
 'aft	e	1
 'aga	i	1
