5	0.1
  Enc	o	1
 " (.	.	1
 " Ro	t	1
 " a 	l	1
 ".O 	d	1
 "28.	¬	2
 "A P	A	1
 "A P	r	1
 "A R	√	1
 "A U	n	1
 "A a	d	1
 "A c	u	1
 "A i	d	1
 "A i	m	1
 "A p	r	3
 "A s	u	1
 "Age	n	6
 "Ago	r	1
 "Agr	i	2
 "Alt	a	1
 "Ami	g	1
 "An√	°	1
 "Apr	e	1
 "Ass	u	6
 "Atr	a	1
 "Ava	t	1
 "Cap	i	3
 "Cap	t	1
 "Cli	m	2
 "Com	o	1
 "Com	p	2
 "Con	s	2
 "Con	v	1
 "Coo	p	1
 "Cop	e	1
 "Cul	t	2
 "Dei	x	1
 "Det	i	1
 "Dev	e	2
 "Dod	d	1
 "Dos	 	1
 "Edu	c	1
 "Emp	r	1
 "Ene	r	1
 "Era	s	4
 "Est	a	1
 "Est	e	1
 "Est	r	4
 "Eu 	p	1
 "Eur	o	101
 "Faz	 	1
 "Fel	i	1
 "Gar	a	1
 "Ino	v	1
 "Inv	e	9
 "Ist	o	1
 "Jus	t	5
 "Juv	e	24
 "Lam	e	2
 "Lis	b	1
 "Mac	-	1
 "Mad	e	5
 "Mai	s	1
 "Mec	a	1
 "Mel	h	1
 "Meu	s	1
 "Min	i	1
 "Mui	t	1
 "Na√	ß	1
 "Nem	 	1
 "Nen	h	1
 "New	 	1
 "Nov	a	1
 "Nun	c	1
 "N√£	o	2
 "N√≥	s	1
 "O P	I	12
 "O P	a	1
 "O m	e	1
 "O t	e	1
 "Os 	g	1
 "Pac	t	2
 "Par	a	3
 "Par	t	1
 "Pav	l	1
 "Peq	u	1
 "Pol	√	1
 "Pre	p	1
 "Pro	g	1
 "Pro	v	1
 "P√©	n	1
 "Qua	n	1
 "Que	m	1
 "Que	r	2
 "Rea	l	1
 "Reg	i	6
 "Reg	u	2
 "Req	u	1
 "Sav	e	1
 "Sa√	∫	1
 "Se 	n	1
 "Seg	u	1
 "Sen	h	1
